target_id,parameter,value,unit,age,sex,population,n,uncertainty,source_ref,which_layer_must_reproduce,notes
t001,peak height velocity,9.61,cm/yr,12.46 y,male,"Korean (Seoul cohort, ages 7-18)","123 boys, 1519 heights",reported 9.61 +/- 1.26 (labelled SE in source),chun2024,L1;L4;L7,SITAR fit. Any plate model must reproduce the summed axial output at this magnitude and age.
t002,age at peak height velocity,12.46,years,-,male,Korean,123 boys,reported 12.46 +/- 0.69 (labelled SE),chun2024,L4;L7,
t003,peak height velocity,8.32,cm/yr,10.99 y,female,Korean,"147 girls, 1820 heights",reported 8.32 +/- 1.09 (labelled SE),chun2024,L1;L4;L7,
t004,age at peak height velocity,10.99,years,-,female,Korean,147 girls,reported 10.99 +/- 0.74 (labelled SE),chun2024,L4;L7,
t005,peak height velocity,9.52,cm/yr,13.55 y,male,"Brazilian (Florianopolis, ages 6-19)",201 boys,mean; SD not reported in abstract,galvo2025,L1;L4;L7,Independent replication of the Korean magnitude to 0.1 cm/yr.
t006,age at peak height velocity,13.55,years,-,male,Brazilian,201 boys,mean,galvo2025,L4;L7,"1.1 y later than the Korean cohort: timing is population-variable, magnitude is not."
t007,peak height velocity,8.38,cm/yr,11.30 y,female,Brazilian,197 girls,mean,galvo2025,L1;L4;L7,
t008,age at peak height velocity,11.30,years,-,female,Brazilian,197 girls,mean,galvo2025,L4;L7,
t009,age at peak height velocity,11.8,years,-,female,UK (ALSPAC),4267,SD 0.8 years,elhakeem2024,L4;L7,The SD is the key dispersion target: timing varies far more than amplitude.
t010,age at peak height velocity,13.5,years,-,male,UK (ALSPAC),4251,SD not separately reported; male indicator SDs ranged 0.7-1.2 y,elhakeem2024,L4;L7,
t011,height velocity at pubertal take-off,5.43,cm/yr,11.19 y,male,Brazilian,201 boys,mean,galvo2025,L1,Pre-spurt baseline the plate must run at before acceleration.
t012,height velocity at pubertal take-off,5.85,cm/yr,8.41 y,female,Brazilian,197 girls,mean,galvo2025,L1,
t013,increase in peak height velocity per year earlier pubertal onset,1.82,cm/yr per year,puberty,male,Korean,123 boys,p<0.0001,chun2024,L4;L7,"Timing and amplitude are coupled; a plate model must reproduce the coupling, not just the mean."
t014,increase in peak height velocity per year earlier pubertal onset,1.39,cm/yr per year,puberty,female,Korean,147 girls,p<0.0001,chun2024,L4;L7,
t015,shortening of pubertal growth-spurt duration with earlier onset,0.63,years,puberty,male,Korean,123 boys,p<0.0001,chun2024,L7,
t016,shortening of pubertal growth-spurt duration with earlier onset,0.58,years,puberty,female,Korean,147 girls,p<0.0001,chun2024,L7,
t017,correlation of age at pubertal onset with peak height velocity,-0.48,Spearman rho,puberty,male,"Danish (Copenhagen, biannual)","105 boys, 947 examinations",p<0.001,srensen2026,L4;L7,
t018,"difference in peri-pubertal growth velocity, early vs late maturers",0.48,cm/yr,peri-pubertal (6 y span),male,Danish,105 boys,"95% CI 0.14-0.82, p<0.006",srensen2026,L4,
t019,correlation of age at menarche with age at peak height velocity,0.76,Pearson r,puberty,female,UK (ALSPAC),3037,strongest of nine pairwise correlations,elhakeem2024,L4;L7,
t020,share of adult height attained in the first year of life,15,percent,0-1 y,both,Danish (background statement),-,"stated as background, no CI",pridik2026,L1;L4,The infant plate contributes more height in one year than the entire pubertal spurt does.
t021,increase in growth velocity per 25th-to-75th percentile shift in free testosterone,8.3,cm/yr,0-12 months,male,Danish (Copenhagen Minipuberty Study),101 boys,95% CI 3.5-15.3,pridik2026,L4,"Sex steroids accelerate the human plate in infancy, months before any secondary sexual characteristic."
t022,fraction of the free-testosterone effect on infant growth velocity mediated by IGF-I,32.6,percent,0-12 months,male,Danish,101 boys,95% CI lower bound 15.3; upper bound truncated in retrieved abstract,pridik2026,L4,
t023,duration of the male growth-velocity advantage after birth,3,months,0-3 months,both,Danish,189 infants,trajectories converge thereafter,pridik2026,L4,
t024,onset age of the growth-hormone-dependent childhood growth component,6-12,months,0-1 y,both,Swedish,-,range as stated; per-individual estimate,karlberg1990,L4,The plate changes its dominant endocrine controller inside this window; L4 must explain the switch.
t025,age at which the infancy growth component has ceased,3,years,0-3 y,both,Swedish,-,approximate,karlberg1990,L4,
t026,children with growth disorders showing a delayed infancy-childhood spurt,30-50,percent,0-3 y,both,Swedish clinical and deprived-area infants,-,range as stated; denominators not given,karlberg1990,L4,
t027,residual SD of an individually fitted Preece-Baines curve,6-7,mm,9-19 y,both,British (Christ's Hospital) and Turner cohorts,"3245 boys, 129508 heights",median RSD; independently reproduced at 0.79 cm,cole2010,L1,The noise floor. A plate model claiming better than ~7 mm accuracy on individual height is fitting measurement structure.
t028,residual SD after full SITAR adjustment,0.79,cm,9-19 y,male,"British (Christ's Hospital, born 1920s-1950s)","3245 boys, 129508 heights",exact; 0.7 cm after trimming 0.74% outliers,cole2010,L1,
t029,residual SD about the raw mean spline curve (unadjusted),6.6,cm,9-19 y,male,British,3245 boys,exact,cole2010,L1,
t030,variance in pubertal height explained by three SITAR parameters,98.9,percent,9-19 y,male,British,3245 boys,exact,cole2010,L1;L8,
t031,SD of the SITAR size random effect,6.1,cm,9-19 y,male,British,3245 boys,exact,cole2010,L8,Between-child dispersion in attained size.
t032,SD of the SITAR tempo random effect,0.97,years,9-19 y,male,British,3245 boys,exact (0.068 fractional at mean APHV 14.3 y),cole2010,L4;L7,Between-child dispersion in growth timing.
t033,SD of the SITAR velocity random effect,0.15,fraction,9-19 y,male,British,3245 boys,exact; a 15 percent spread in how fast the growth curve runs,cole2010,L1;L4,The plate clock itself runs 15 percent fast or slow between children.
t034,correlation between SITAR size and velocity random effects,0.36,Pearson r,9-19 y,male,British,3245 boys,exact,cole2010,L8,
t035,correlation between SITAR tempo and velocity random effects,0.28,Pearson r,9-19 y,male,British,3245 boys,exact,cole2010,L8,Reverses to -0.46 in Turner syndrome (n=105).
t036,"residual SD after SITAR adjustment, Turner syndrome",0.6,cm,9-18 y,female,UK Turner Study,"105 girls, 1321 heights",raw RSD 5.9 cm,cole2010,L1,
t037,residual SD of adult son height about corrected mid-parental target height,4.7,cm,adult,male,"Jewish (Israel and US), 23 large nuclear families",303 adult children total,pooled across families; within-family 4.5 +/- 0.9 cm,zeevi2024,L8,THE number routinely misquoted in clinic. This is the irreducible prediction error given both parents' heights.
t038,residual SD of adult daughter height about corrected mid-parental target height,4.4,cm,adult,female,Jewish (Israel and US),303 adult children total,pooled; within-family 4.2 +/- 0.8 cm,zeevi2024,L8,
t039,95% prediction interval of target height from mid-parental regression,+/-10,cm,adult,both,Swedish population-based,2402,implies predictive SD near 5.1 cm,luo1998,L8,"Independent, wider, population-based estimate."
t040,clinically quoted target range (Tanner),+/-8.5,cm,adult,both,original British derivation,-,"THEORETICAL derivation, not measured; asserted as the 3rd-97th centile band",zeevi2024,L8,MISQUOTATION FLAG: routinely used as if it were a measured 2 SD band. Tanner derived it from theory and later revised it to +/-9 cm (girls) and +/-10 cm (boys).
