score,stake,suspicion,param_id,node_id,layer,parameter,value,unit,species,source_ref,self_declared,signals
56,8,7,p_61f79e4fdb,distal_femur_plate,L1,derived mean proliferative cell cycle time,20,days,human,kember1976,False,contradiction|flow_model|grade_A_B|derivation_word|no_dispersion|unread_source|sole_source
56,8,7,p_1c34689beb,growth_velocity_longitudinal,L1,mean distal femoral growth rate expressed per day,38,um/day,human,kember1976,False,contradiction|flow_model|grade_A_B|derivation_word|no_dispersion|unread_source|sole_source
48,8,6,p_d7200148be,distal_femur_plate,L1,cells per proliferative column,24,cells,human,kember1976,False,contradiction|flow_model|grade_A_B|derivation_word|no_dispersion|unread_source
42,6,7,p_677f954703,elongation_budget,L1,contribution of cell division to elongation,9,% of elongation,rat,wilsman1996,False,contradiction|flow_model|derivation_word|no_dispersion|unread_source|sole_source
42,6,7,p_a3e8623837,elongation_budget,L1,cell share of the volume removed at the chondro-osseous junction,"68.5, 67.8, 59.3, 51.4",% of elongation,rat,wilsman1996,False,contradiction|flow_model|derivation_word|no_dispersion|unread_source|sole_source
42,6,7,p_50c13feaeb,fgfr3_receptor,L3,change in unliganded FGFR3 dimerisation free energy due to G380R,-1.8,kcal/mol,in_vitro_human_cell,sarabipour2016,False,contradiction|grade_A_B|screen|derivation_word|no_dispersion|unread_source|sole_source
42,7,6,p_dea1787acd,physeal_stress_in_vivo,L6,applied stress range in the animal stress-growth experiments,approximately 0.02-0.2,MPa,multiple,stokes2006,False,contradiction|flow_model|screen|derivation_word|no_dispersion|sole_source
36,9,4,p_ac972fbc3f,clonal_column,L1,cells lost per column per day,8,cells/day,rat,hunziker1987,False,contradiction|flow_model|grade_A_B|screen|no_dispersion|unread_source|sole_source
36,6,6,p_87b51c80c9,scoliosis_vertebral_growth,L6,growth-rate sensitivity used to simulate curve progression,15.0,% per 0.1 MPa (vertebral,multiple,stokes2006,False,contradiction|grade_A_B|screen|derivation_word|no_dispersion|sole_source
35,7,5,p_206d079d10,cell_cycle_time_pz,L1,"total cell cycle time, proliferative zone",30.9,h,rat,wilsman1996a,False,contradiction|flow_model|screen|derivation_word|unread_source|sole_source
35,5,7,p_9aa4e5d091,distal_femur_plate,L1,mean growth rate expressed per day,38,um/day,human,kember1976,False,contradiction|grade_A_B|derivation_word|no_dispersion|unread_source|sole_source
35,5,7,p_5ab21b3296,distal_femur_plate,L1,maturing plus proliferating cells per column (directly counted),36,cells,human,kember1976,False,contradiction|grade_A_B|derivation_word|no_dispersion|unread_source|sole_source
35,5,7,p_222ce6bca9,growth_plate_drug_exposure,L12,navepegritide-released CNP plasma half-life used as the exposure surrogate,5.3,days,human,fda_yuviwel_label_2026,False,contradiction|grade_A_B|derivation_word|no_dispersion|unread_source|sole_source
35,5,7,p_f37fc4c23b,seasonality_growth_velocity,L4,seasonal amplitude as a fraction of mean linear growth velocity,13,%,human,narumi2020,False,contradiction|grade_A_B|derivation_word|no_dispersion|unread_source|sole_source
32,8,4,p_f6aa43187f,distal_femur_plate,L1,terminal hypertrophic cell height along the growth axis,33,um,human,kember1976,False,contradiction|flow_model|grade_A_B|derivation_word|unread_source
32,8,4,p_456dd2428e,growth_velocity_longitudinal,L1,mean distal femoral growth rate,1.4,cm/year,human,kember1976,False,contradiction|flow_model|grade_A_B|no_dispersion|unread_source|sole_source
32,8,4,p_ceb7164801,seasonality_growth_velocity,L4,"mean annual height velocity in Danish 8-11 year olds, with above-average velocity in Janua",6.10,cm/yr,human,dalskov2016,False,contradiction|flow_model|grade_A_B|no_dispersion|unread_source|sole_source
30,6,5,p_48c9180977,achondroplasia,L11,"adult height, males",132,cm,human,merker2018,False,contradiction|grade_A_B|screen|derivation_word|unread_source|sole_source
30,6,5,p_d4c479df7d,pi_ppi_ratio,L5,Circulating Pi:PPi ratio in healthy humans,~300-600,mol:mol (serum Pi 1-2 mm,human,russell1971,False,contradiction|grade_A_B|screen|derivation_word|unread_source|sole_source
